,fund_house,scheme_type,scheme_category,scheme_code,scheme_name,date,nav
0,Aditya Birla Sun Life Mutual Fund,Open Ended Schemes,Debt Scheme - Banking and PSU Fund,119551,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW,02-01-2013,103.00590
1,Aditya Birla Sun Life Mutual Fund,Open Ended Schemes,Debt Scheme - Banking and PSU Fund,119552,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - MONTHLY IDCW,02-01-2013,100.05500
2,Aditya Birla Sun Life Mutual Fund,Open Ended Schemes,Debt Scheme - Banking and PSU Fund,119553,Aditya Birla Sun Life Banking & PSU Debt Fund  - Direct - Quarterly IDCW,02-01-2013,101.73770
3,Aditya Birla Sun Life Mutual Fund,Open Ended Schemes,Debt Scheme - Banking and PSU Fund,108272,Aditya Birla Sun Life Banking & PSU Debt Fund  - REGULAR - IDCW,08-05-2008,10.00160
4,Aditya Birla Sun Life Mutual Fund,Open Ended Schemes,Debt Scheme - Banking and PSU Fund,110282,Aditya Birla Sun Life Banking & PSU Debt Fund  - REGULAR - MONTHLY IDCW,23-09-2008,10.00280
5,Aditya Birla Sun Life Mutual Fund,Open Ended Schemes,Debt Scheme - Banking and PSU Fund,108274,Aditya Birla Sun Life Banking & PSU Debt Fund  - REGULAR - Quarterly IDCW,24-07-2008,10.00340
6,Aditya Birla Sun Life Mutual Fund,Open Ended Schemes,Debt Scheme - Banking and PSU Fund,110490,Aditya Birla Sun Life Banking & PSU Debt Fund  - retail - monthly IDCW,14-10-2008,10.00290
7,Aditya Birla Sun Life Mutual Fund,Open Ended Schemes,Debt Scheme - Banking and PSU Fund,106157,Aditya Birla Sun Life Banking & PSU Debt Fund  - retail - quarterly IDCW,19-07-2007,10.00210
8,Aditya Birla Sun Life Mutual Fund,Open Ended Schemes,Debt Scheme - Banking and PSU Fund,108273,Aditya Birla Sun Life Banking & PSU Debt Fund - Regular Plan-Growth,05-05-2008,10.00800
9,Aditya Birla Sun Life Mutual Fund,Open Ended Schemes,Debt Scheme - Banking and PSU Fund,103176,Aditya Birla Sun Life Banking & PSU Debt Fund - Retail Plan-Growth,03-04-2006,12.43480
10,Aditya Birla Sun Life Mutual Fund,Open Ended Schemes,Debt Scheme - Banking and PSU Fund,119550,Aditya Birla Sun Life Banking & PSU Debt Fund- Direct Plan-Growth,02-01-2013,137.49900
11,Axis Mutual Fund,Open Ended Schemes,Debt Scheme - Banking and PSU Fund,128952,Axis Banking & PSU Debt Fund - Direct Plan - Bonus Option,17-07-2014,1204.78050
12,Axis Mutual Fund,Open Ended Schemes,Debt Scheme - Banking and PSU Fund,120437,Axis Banking & PSU Debt Fund - Direct Plan - Daily IDCW,03-01-2013,1001.04900
13,Axis Mutual Fund,Open Ended Schemes,Debt Scheme - Banking and PSU Fund,120438,Axis Banking & PSU Debt Fund - Direct Plan - Growth Option,02-01-2013,1053.22710
14,Axis Mutual Fund,Open Ended Schemes,Debt Scheme - Banking and PSU Fund,120439,Axis Banking & PSU Debt Fund - Direct Plan - Monthly IDCW,25-02-2013,1000.75360
15,Axis Mutual Fund,Open Ended Schemes,Debt Scheme - Banking and PSU Fund,120436,Axis Banking & PSU Debt Fund - Direct Plan - Weekly IDCW,11-01-2013,1002.12840
16,Axis Mutual Fund,Open Ended Schemes,Debt Scheme - Banking and PSU Fund,128953,Axis Banking & PSU Debt Fund - Bonus Option,31-03-2015,1278.38050
17,Axis Mutual Fund,Open Ended Schemes,Debt Scheme - Banking and PSU Fund,117447,Axis Banking & PSU Debt Fund - Regular Plan - Daily IDCW,12-06-2012,1000.00000
18,Axis Mutual Fund,Open Ended Schemes,Debt Scheme - Banking and PSU Fund,117446,Axis Banking & PSU Debt Fund - Regular Plan - Growth option,12-06-2012,1001.23950
19,Axis Mutual Fund,Open Ended Schemes,Debt Scheme - Banking and PSU Fund,117449,Axis Banking & PSU Debt Fund - Regular Plan - Monthly IDCW,12-06-2012,1001.23950
20,Axis Mutual Fund,Open Ended Schemes,Debt Scheme - Banking and PSU Fund,117448,Axis Banking & PSU Debt Fund - Regular Plan - Weekly IDCW,12-06-2012,1001.23950
21,Baroda BNP Paribas Mutual Fund,Open Ended Schemes,Debt Scheme - Banking and PSU Fund,148629,Baroda BNP Paribas Banking and PSU Bond Fund -Direct Plan-Monthly IDCW Option,18-12-2020,10.00720
22,Baroda BNP Paribas Mutual Fund,Open Ended Schemes,Debt Scheme - Banking and PSU Fund,148628,Baroda BNP Paribas Banking and PSU Bond Fund- Direct Plan -Growth Option,18-12-2020,10.00720
23,Baroda BNP Paribas Mutual Fund,Open Ended Schemes,Debt Scheme - Banking and PSU Fund,148630,Baroda BNP Paribas Banking and PSU Bond Fund-Direct plan-Quarterly IDCW Option,18-12-2020,10.00720
24,Baroda BNP Paribas Mutual Fund,Open Ended Schemes,Debt Scheme - Banking and PSU Fund,148625,Baroda BNP Paribas Banking and PSU Bond Fund-Regular Plan -Growth Option,18-12-2020,10.00700
25,Baroda BNP Paribas Mutual Fund,Open Ended Schemes,Debt Scheme - Banking and PSU Fund,148626,Baroda BNP Paribas Banking and PSU Bond Fund-Regular Plan -Monthly IDCW Option,18-12-2020,10.00700
26,Baroda BNP Paribas Mutual Fund,Open Ended Schemes,Debt Scheme - Banking and PSU Fund,148627,Baroda BNP Paribas Banking and PSU Bond Fund-Regular Plan-Quarterly IDCW Option,18-12-2020,10.00700
27,Canara Robeco Mutual Fund,Open Ended Schemes,Debt Scheme - Banking and PSU Fund,150505,Canara Robeco Banking and PSU Debt Fund- Direct Plan- Growth Option,24-08-2022,10.01300
28,Canara Robeco Mutual Fund,Open Ended Schemes,Debt Scheme - Banking and PSU Fund,150507,Canara Robeco Banking and PSU Debt Fund- Direct Plan- IDCW Payout,24-08-2022,10.01300
29,Canara Robeco Mutual Fund,Open Ended Schemes,Debt Scheme - Banking and PSU Fund,150503,Canara Robeco Banking and PSU Debt Fund- Regular Plan- Growth Option,24-08-2022,10.01270
30,Canara Robeco Mutual Fund,Open Ended Schemes,Debt Scheme - Banking and PSU Fund,150504,Canara Robeco Banking and PSU Debt Fund- Regular Plan- IDCW (Payout/ Reinvestment),24-08-2022,10.01270
31,DSP Mutual Fund,Open Ended Schemes,Debt Scheme - Banking and PSU Fund,124175,DSP Banking & PSU Debt Fund - Direct Plan - Growth,16-09-2013,10.00980
32,DSP Mutual Fund,Open Ended Schemes,Debt Scheme - Banking and PSU Fund,124178,DSP Banking & PSU Debt Fund - Direct Plan - IDCW,16-09-2013,10.00980
33,DSP Mutual Fund,Open Ended Schemes,Debt Scheme - Banking and PSU Fund,124182,DSP Banking & PSU Debt Fund - Direct Plan - IDCW - Daily Reinvest,16-09-2013,10.00980
34,DSP Mutual Fund,Open Ended Schemes,Debt Scheme - Banking and PSU Fund,124176,DSP Banking & PSU Debt Fund - Direct Plan - IDCW - Monthly,16-09-2013,10.00980
35,DSP Mutual Fund,Open Ended Schemes,Debt Scheme - Banking and PSU Fund,124177,DSP Banking & PSU Debt Fund - Direct Plan - IDCW - Quarterly ,16-09-2013,10.00980
36,DSP Mutual Fund,Open Ended Schemes,Debt Scheme - Banking and PSU Fund,124183,DSP Banking & PSU Debt Fund - Direct Plan - IDCW - Weekly,16-09-2013,10.00980
37,DSP Mutual Fund,Open Ended Schemes,Debt Scheme - Banking and PSU Fund,124172,DSP Banking & PSU Debt Fund - Regular Plan - Growth,16-09-2013,10.00980
38,DSP Mutual Fund,Open Ended Schemes,Debt Scheme - Banking and PSU Fund,124174,DSP Banking & PSU Debt Fund - Regular Plan - IDCW,16-09-2013,10.00980
39,DSP Mutual Fund,Open Ended Schemes,Debt Scheme - Banking and PSU Fund,124173,DSP Banking & PSU Debt Fund - Regular Plan - IDCW - Daily Reinvest,16-09-2013,10.00980
40,DSP Mutual Fund,Open Ended Schemes,Debt Scheme - Banking and PSU Fund,124180,DSP Banking & PSU Debt Fund - Regular Plan - IDCW - Monthly,16-09-2013,10.00980
41,DSP Mutual Fund,Open Ended Schemes,Debt Scheme - Banking and PSU Fund,124181,DSP Banking & PSU Debt Fund - Regular Plan - IDCW - Quarterly ,16-09-2013,10.00980
42,DSP Mutual Fund,Open Ended Schemes,Debt Scheme - Banking and PSU Fund,124179,DSP Banking & PSU Debt Fund - Regular Plan - IDCW - Weekly,16-09-2013,10.00980
43,Edelweiss Mutual Fund,Open Ended Schemes,Debt Scheme - Banking and PSU Fund,140286,Edelweiss Banking and PSU Debt Fund - Direct Plan - Growth Option,28-11-2016,13.42880
44,Edelweiss Mutual Fund,Open Ended Schemes,Debt Scheme - Banking and PSU Fund,140288,Edelweiss Banking and PSU Debt Fund - Direct Plan - IDCW Option,02-01-2018,14.30960
45,Edelweiss Mutual Fund,Open Ended Schemes,Debt Scheme - Banking and PSU Fund,140291,Edelweiss Banking and PSU Debt Fund - Direct Plan Fortnightly - IDCW Option,26-02-2019,15.38250
46,Edelweiss Mutual Fund,Open Ended Schemes,Debt Scheme - Banking and PSU Fund,140293,Edelweiss Banking and PSU Debt Fund - Direct Plan Monthly - IDCW Option,28-11-2016,10.45320
47,Edelweiss Mutual Fund,Open Ended Schemes,Debt Scheme - Banking and PSU Fund,140290,Edelweiss Banking and PSU Debt Fund - Direct Plan weekly - IDCW Option,28-11-2016,10.63600
48,Edelweiss Mutual Fund,Open Ended Schemes,Debt Scheme - Banking and PSU Fund,140283,Edelweiss Banking and PSU Debt Fund - Regular Plan - Growth Option,28-11-2016,13.30170
49,Edelweiss Mutual Fund,Open Ended Schemes,Debt Scheme - Banking and PSU Fund,140284,Edelweiss Banking and PSU Debt Fund - Regular Plan - IDCW Option,28-11-2016,13.30150
50,Edelweiss Mutual Fund,Open Ended Schemes,Debt Scheme - Banking and PSU Fund,140294,Edelweiss Banking and PSU Debt Fund - Regular Plan Fortnightly - IDCW Option,22-01-2019,15.03630
51,Edelweiss Mutual Fund,Open Ended Schemes,Debt Scheme - Banking and PSU Fund,140292,Edelweiss Banking and PSU Debt Fund - Regular Plan Monthly - IDCW Option,28-11-2016,10.43660
52,Edelweiss Mutual Fund,Open Ended Schemes,Debt Scheme - Banking and PSU Fund,140289,Edelweiss Banking and PSU Debt Fund - Regular Plan Weekly - IDCW Option,28-11-2016,10.48610
53,Franklin Templeton Mutual Fund,Open Ended Schemes,Debt Scheme - Banking and PSU Fund,129008,Franklin India Banking & PSU Debt Fund - Direct - Growth,25-04-2014,10.00000
54,Franklin Templeton Mutual Fund,Open Ended Schemes,Debt Scheme - Banking and PSU Fund,129006,Franklin India Banking & PSU Debt Fund - Growth,25-04-2014,10.00000
55,Franklin Templeton Mutual Fund,Open Ended Schemes,Debt Scheme - Banking and PSU Fund,129009,Franklin India Banking and PSU Debt Fund - Direct - IDCW ,25-04-2014,10.00000
56,Franklin Templeton Mutual Fund,Open Ended Schemes,Debt Scheme - Banking and PSU Fund,129007,Franklin India Banking and PSU Debt Fund - IDCW ,25-04-2014,10.00000
57,HDFC Mutual Fund,Open Ended Schemes,Debt Scheme - Banking and PSU Fund,128628,HDFC Banking and PSU Debt Fund - Growth Option,26-03-2014,10.00220
58,HDFC Mutual Fund,Open Ended Schemes,Debt Scheme - Banking and PSU Fund,128629,HDFC Banking and PSU Debt Fund - Growth Option - Direct Plan,26-03-2014,10.00220
59,HDFC Mutual Fund,Open Ended Schemes,Debt Scheme - Banking and PSU Fund,128627,HDFC Banking and PSU Debt Fund - IDCW Option,26-03-2014,10.00220
60,HDFC Mutual Fund,Open Ended Schemes,Debt Scheme - Banking and PSU Fund,128626,HDFC Banking and PSU Debt Fund - IDCW Option - Direct Plan,26-03-2014,10.00220
61,HSBC Mutual Fund,Open Ended Schemes,Debt Scheme - Banking and PSU Fund,151108,HSBC Banking and PSU Debt Fund - Direct Daily IDCW,28-11-2022,11.19070
62,HSBC Mutual Fund,Open Ended Schemes,Debt Scheme - Banking and PSU Fund,151107,HSBC Banking and PSU Debt Fund - Direct Growth,28-11-2022,21.11280
63,HSBC Mutual Fund,Open Ended Schemes,Debt Scheme - Banking and PSU Fund,151106,HSBC Banking and PSU Debt Fund - Direct Monthly IDCW,28-11-2022,11.30260
64,HSBC Mutual Fund,Open Ended Schemes,Debt Scheme - Banking and PSU Fund,151109,HSBC Banking and PSU Debt Fund - Direct Weekly IDCW,28-11-2022,10.37640
65,HSBC Mutual Fund,Open Ended Schemes,Debt Scheme - Banking and PSU Fund,151102,HSBC Banking and PSU Debt Fund - Regular Daily IDCW,28-11-2022,11.11600
66,HSBC Mutual Fund,Open Ended Schemes,Debt Scheme - Banking and PSU Fund,151104,HSBC Banking and PSU Debt Fund - Regular Growth,28-11-2022,20.24170
67,HSBC Mutual Fund,Open Ended Schemes,Debt Scheme - Banking and PSU Fund,151105,HSBC Banking and PSU Debt Fund - Regular Monthly IDCW,28-11-2022,10.79830
68,HSBC Mutual Fund,Open Ended Schemes,Debt Scheme - Banking and PSU Fund,151103,HSBC Banking and PSU Debt Fund - Regular Weekly IDCW,28-11-2022,10.34860
69,ICICI Prudential Mutual Fund,Open Ended Schemes,Debt Scheme - Banking and PSU Fund,112343,ICICI Prudential Banking and PSU Debt Fund -  Daily IDCW,04-01-2010,10.00140
70,ICICI Prudential Mutual Fund,Open Ended Schemes,Debt Scheme - Banking and PSU Fund,112344,ICICI Prudential Banking and PSU Debt Fund -  Weekly IDCW,04-01-2010,10.00270
71,ICICI Prudential Mutual Fund,Open Ended Schemes,Debt Scheme - Banking and PSU Fund,130897,ICICI Prudential Banking and PSU Debt Fund - Bonus,05-11-2014,10.26620
72,ICICI Prudential Mutual Fund,Open Ended Schemes,Debt Scheme - Banking and PSU Fund,120257,ICICI Prudential Banking and PSU Debt Fund - Direct Plan -  Daily IDCW,28-01-2013,10.06670
73,ICICI Prudential Mutual Fund,Open Ended Schemes,Debt Scheme - Banking and PSU Fund,120256,ICICI Prudential Banking and PSU Debt Fund - Direct Plan -  Growth,14-03-2013,12.89150
74,ICICI Prudential Mutual Fund,Open Ended Schemes,Debt Scheme - Banking and PSU Fund,120258,ICICI Prudential Banking and PSU Debt Fund - Direct Plan -  Quarterly IDCW,02-08-2013,9.98800
75,ICICI Prudential Mutual Fund,Open Ended Schemes,Debt Scheme - Banking and PSU Fund,120255,ICICI Prudential Banking and PSU Debt Fund - Direct Plan -  Weekly IDCW,29-01-2013,10.07200
76,ICICI Prudential Mutual Fund,Open Ended Schemes,Debt Scheme - Banking and PSU Fund,130950,ICICI Prudential Banking and PSU Debt Fund - Direct Plan Bonus,23-01-2015,10.50300
77,ICICI Prudential Mutual Fund,Open Ended Schemes,Debt Scheme - Banking and PSU Fund,131148,ICICI Prudential Banking and PSU Debt Fund - Direct Plan Half Yearly IDCW Option,05-11-2014,10.27400
78,ICICI Prudential Mutual Fund,Open Ended Schemes,Debt Scheme - Banking and PSU Fund,112342,ICICI Prudential Banking and PSU Debt Fund - Growth,04-01-2010,10.00270
79,ICICI Prudential Mutual Fund,Open Ended Schemes,Debt Scheme - Banking and PSU Fund,116174,ICICI Prudential Banking and PSU Debt Fund - Quarterly IDCW,02-05-2013,10.00820
80,ICICI Prudential Mutual Fund,Open Ended Schemes,Debt Scheme - Banking and PSU Fund,131147,ICICI Prudential Banking and PSU Debt Fund Half Yearly IDCW Option,12-02-2015,9.99810
81,ICICI Prudential Mutual Fund,Open Ended Schemes,Debt Scheme - Banking and PSU Fund,113247,ICICI Prudential Banking and PSU Debt Fund Retail Daily Dividend,08-09-2010,10.00080
82,ICICI Prudential Mutual Fund,Open Ended Schemes,Debt Scheme - Banking and PSU Fund,113242,ICICI Prudential Banking and PSU Debt Fund Retail Growth,07-09-2010,10.00170
83,ICICI Prudential Mutual Fund,Open Ended Schemes,Debt Scheme - Banking and PSU Fund,113243,ICICI Prudential Banking and PSU Debt Fund Retail Weekly Dividend,13-09-2010,10.00670
84,IDFC Mutual Fund,Open Ended Schemes,Debt Scheme - Banking and PSU Fund,121936,IDFC-IDFC Banking & PSU Debt Fund - Direct Annual IDCW,05-02-2020,11.17230
85,IDFC Mutual Fund,Open Ended Schemes,Debt Scheme - Banking and PSU Fund,127471,IDFC-IDFC Banking & PSU Debt Fund - Direct Daily IDCW,20-02-2014,10.00760
86,IDFC Mutual Fund,Open Ended Schemes,Debt Scheme - Banking and PSU Fund,121934,IDFC-IDFC Banking & PSU Debt Fund - Direct Fortnightly IDCW,18-03-2013,10.00440
87,IDFC Mutual Fund,Open Ended Schemes,Debt Scheme - Banking and PSU Fund,121279,IDFC-IDFC Banking & PSU Debt Fund - Direct Growth,08-03-2013,10.00320
88,IDFC Mutual Fund,Open Ended Schemes,Debt Scheme - Banking and PSU Fund,121281,IDFC-IDFC Banking & PSU Debt Fund - Direct IDCW,08-03-2013,10.00320
89,IDFC Mutual Fund,Open Ended Schemes,Debt Scheme - Banking and PSU Fund,121935,IDFC-IDFC Banking & PSU Debt Fund - Direct Monthly IDCW,16-04-2013,10.10890
90,IDFC Mutual Fund,Open Ended Schemes,Debt Scheme - Banking and PSU Fund,121938,IDFC-IDFC Banking & PSU Debt Fund - Direct Quarterly IDCW,10-04-2014,10.26260
91,IDFC Mutual Fund,Open Ended Schemes,Debt Scheme - Banking and PSU Fund,121933,IDFC-IDFC Banking & PSU Debt Fund - Regular Annual IDCW,28-03-2014,10.01010
92,IDFC Mutual Fund,Open Ended Schemes,Debt Scheme - Banking and PSU Fund,127470,IDFC-IDFC Banking & PSU Debt Fund - Regular Daily IDCW,17-02-2014,10.00560
93,IDFC Mutual Fund,Open Ended Schemes,Debt Scheme - Banking and PSU Fund,121931,IDFC-IDFC Banking & PSU Debt Fund - Regular Fortnightly IDCW,15-03-2013,10.00300
94,IDFC Mutual Fund,Open Ended Schemes,Debt Scheme - Banking and PSU Fund,121280,IDFC-IDFC Banking & PSU Debt Fund - Regular Growth,08-03-2013,10.00310
95,IDFC Mutual Fund,Open Ended Schemes,Debt Scheme - Banking and PSU Fund,121282,IDFC-IDFC Banking & PSU Debt Fund - Regular IDCW,08-03-2013,10.00310
96,IDFC Mutual Fund,Open Ended Schemes,Debt Scheme - Banking and PSU Fund,121932,IDFC-IDFC Banking & PSU Debt Fund - Regular Monthly IDCW,18-03-2013,10.00430
97,IDFC Mutual Fund,Open Ended Schemes,Debt Scheme - Banking and PSU Fund,121937,IDFC-IDFC Banking & PSU Debt Fund - Regular Quarterly IDCW,15-03-2013,10.00300
98,Invesco Mutual Fund,Open Ended Schemes,Debt Scheme - Banking and PSU Fund,118234,Invesco India Banking & PSU Debt Fund - Daily IDCW (Reinvestment),31-12-2012,1002.10830
99,Invesco Mutual Fund,Open Ended Schemes,Debt Scheme - Banking and PSU Fund,120444,Invesco India Banking & PSU Debt Fund - Direct Plan -  Growth Option,02-01-2013,1003.75460
100,Invesco Mutual Fund,Open Ended Schemes,Debt Scheme - Banking and PSU Fund,120443,Invesco India Banking & PSU Debt Fund - Direct Plan - Daily IDCW (Reinvestment),02-01-2013,1003.75460
101,Invesco Mutual Fund,Open Ended Schemes,Debt Scheme - Banking and PSU Fund,120445,Invesco India Banking & PSU Debt Fund - Direct Plan - Monthly IDCW (Payout / Reinvestment),02-01-2013,1003.75460
102,Invesco Mutual Fund,Open Ended Schemes,Debt Scheme - Banking and PSU Fund,118232,Invesco India Banking & PSU Debt Fund - Growth Option,31-12-2012,1002.10830
103,Invesco Mutual Fund,Open Ended Schemes,Debt Scheme - Banking and PSU Fund,118233,Invesco India Banking & PSU Debt Fund - Monthly IDCW (Payout / Reinvestment),31-12-2012,1002.10830
104,ITI Mutual Fund,Open Ended Schemes,Debt Scheme - Banking and PSU Fund,148534,ITI Banking & PSU Debt Fund - Direct Plan - Growth Option,23-10-2020,10.00340
105,ITI Mutual Fund,Open Ended Schemes,Debt Scheme - Banking and PSU Fund,148536,ITI Banking & PSU Debt Fund - Direct Plan - IDCW Option,23-10-2020,10.00340
106,ITI Mutual Fund,Open Ended Schemes,Debt Scheme - Banking and PSU Fund,148535,ITI Banking & PSU Debt Fund - Regular Plan - Growth Option,23-10-2020,10.00310
107,ITI Mutual Fund,Open Ended Schemes,Debt Scheme - Banking and PSU Fund,148533,ITI Banking & PSU Debt Fund - Regular Plan - IDCW Option,23-10-2020,10.00310
108,Kotak Mahindra Mutual Fund,Open Ended Schemes,Income,123688,Kotak Banking and PSU Debt - Annual Dividend,14-08-2013,15.70130
109,Kotak Mahindra Mutual Fund,Open Ended Schemes,Income,123858,Kotak Banking and PSU Debt - Daily Dividend Reinvestment,21-08-2013,10.00000
110,Kotak Mahindra Mutual Fund,Open Ended Schemes,Income,123859,Kotak Banking and PSU Debt - Direct Daily Dividend Reinvestment,21-08-2013,10.00000
111,Kotak Mahindra Mutual Fund,Open Ended Schemes,Debt Scheme - Banking and PSU Fund,123690,Kotak Banking and PSU Debt - Growth,14-08-2013,26.38850
112,Kotak Mahindra Mutual Fund,Open Ended Schemes,Debt Scheme - Banking and PSU Fund,123691,Kotak Banking and PSU Debt - Monthly Payout of Income Distribution cum capital withdrawal option,14-08-2013,10.79100
113,Kotak Mahindra Mutual Fund,Open Ended Schemes,Income,123689,Kotak Banking and PSU Debt Direct - Annual Dividend,14-08-2013,16.61090
114,Kotak Mahindra Mutual Fund,Open Ended Schemes,Debt Scheme - Banking and PSU Fund,123693,Kotak Banking and PSU Debt Direct - Growth,14-08-2013,26.40940
115,Kotak Mahindra Mutual Fund,Open Ended Schemes,Debt Scheme - Banking and PSU Fund,123692,Kotak Banking and PSU Debt Direct - Monthly Payout of Income Distribution cum capital withdrawal option,14-08-2013,10.57600
116,LIC Mutual Fund,Open Ended Schemes,Debt Scheme - Banking and PSU Fund,120337,LIC MF Banking & PSU Debt Fund-Direct Plan-Daily IDCW,10-01-2013,10.05000
117,LIC Mutual Fund,Open Ended Schemes,Debt Scheme - Banking and PSU Fund,120338,LIC MF Banking & PSU Debt Fund-Direct Plan-Growth,03-01-2013,15.17210
118,LIC Mutual Fund,Open Ended Schemes,Debt Scheme - Banking and PSU Fund,120339,LIC MF Banking & PSU Debt Fund-Direct Plan-Monthly IDCW,22-01-2013,10.10570
119,LIC Mutual Fund,Open Ended Schemes,Debt Scheme - Banking and PSU Fund,120336,LIC MF Banking & PSU Debt Fund-Direct Plan-Weekly IDCW,22-01-2013,10.05000
120,LIC Mutual Fund,Open Ended Schemes,Debt Scheme - Banking and PSU Fund,105822,LIC MF Banking & PSU Debt Fund-Regular Plan-Daily IDCW,31-05-2007,10.00000
121,LIC Mutual Fund,Open Ended Schemes,Debt Scheme - Banking and PSU Fund,105823,LIC MF Banking & PSU Debt Fund-Regular Plan-Growth,31-05-2007,10.00180
122,LIC Mutual Fund,Open Ended Schemes,Debt Scheme - Banking and PSU Fund,105856,LIC MF Banking & PSU Debt Fund-Regular Plan-Monthly IDCW,04-06-2007,10.01180
123,LIC Mutual Fund,Open Ended Schemes,Debt Scheme - Banking and PSU Fund,105857,LIC MF Banking & PSU Debt Fund-Regular Plan-Weekly IDCW,04-06-2007,10.01180
124,Mirae Asset Mutual Fund,Open Ended Schemes,Debt Scheme - Banking and PSU Fund,148419,Mirae Asset Banking and PSU Debt Fund Direct Growth,27-07-2020,9.99850
125,Mirae Asset Mutual Fund,Open Ended Schemes,Debt Scheme - Banking and PSU Fund,148417,Mirae Asset Banking and PSU Debt Fund Direct IDCW,27-07-2020,9.99850
126,Mirae Asset Mutual Fund,Open Ended Schemes,Debt Scheme - Banking and PSU Fund,148416,Mirae Asset Banking and PSU Debt Fund Regular Growth Plan,27-07-2020,9.99800
127,Mirae Asset Mutual Fund,Open Ended Schemes,Debt Scheme - Banking and PSU Fund,148418,Mirae Asset Banking and PSU Debt Fund Regular IDCW,27-07-2020,9.99800
128,Nippon India Mutual Fund,Open Ended Schemes,Debt Scheme - Banking and PSU Fund,134552,Nippon India Banking  & PSU Debt Fund- Direct Plan-Growth Plan- Bonus Option,18-05-2015,10.01530
129,Nippon India Mutual Fund,Open Ended Schemes,Debt Scheme - Banking and PSU Fund,134547,Nippon India Banking  & PSU Debt Fund- Direct Plan-Growth Plan- Growth Option,18-05-2015,10.01530
130,Reliance Mutual Fund,Open Ended Schemes,Debt Scheme - Banking and PSU Fund,134546,Reliance Banking  & PSU Debt Fund- Growth Plan- Bonus Option,18-05-2015,10.01510
131,Nippon India Mutual Fund,Open Ended Schemes,Debt Scheme - Banking and PSU Fund,134545,Nippon India Banking  & PSU Debt Fund- Growth Plan- Growth Option,18-05-2015,10.01510
132,Nippon India Mutual Fund,Open Ended Schemes,Debt Scheme - Banking and PSU Fund,134555,NIPPON INDIA BANKING & PSU DEBT FUND - Direct Plan - IDCW Option,18-05-2015,10.01530
133,Nippon India Mutual Fund,Open Ended Schemes,Debt Scheme - Banking and PSU Fund,134550,NIPPON INDIA BANKING & PSU DEBT FUND - Direct Plan - MONTHLY IDCW Option,18-05-2015,10.01530
134,Nippon India Mutual Fund,Open Ended Schemes,Debt Scheme - Banking and PSU Fund,134556,NIPPON INDIA BANKING & PSU DEBT FUND - Direct Plan - QUARTERLY IDCW Option,18-05-2015,10.01530
135,Nippon India Mutual Fund,Open Ended Schemes,Debt Scheme - Banking and PSU Fund,134554,NIPPON INDIA BANKING & PSU DEBT FUND - Direct Plan - WEEKLY IDCW Option,18-05-2015,10.01530
136,Nippon India Mutual Fund,Open Ended Schemes,Debt Scheme - Banking and PSU Fund,134548,NIPPON INDIA BANKING & PSU DEBT FUND - IDCW Option,18-05-2015,10.01510
137,Nippon India Mutual Fund,Open Ended Schemes,Debt Scheme - Banking and PSU Fund,134549,NIPPON INDIA BANKING & PSU DEBT FUND - MONTHLY IDCW Option,18-05-2015,10.01510
138,Nippon India Mutual Fund,Open Ended Schemes,Debt Scheme - Banking and PSU Fund,134551,NIPPON INDIA BANKING & PSU DEBT FUND - QUARTERLY IDCW Option,18-05-2015,10.01510
139,Nippon India Mutual Fund,Open Ended Schemes,Debt Scheme - Banking and PSU Fund,134553,NIPPON INDIA BANKING & PSU DEBT FUND - WEEKLY IDCW Option,18-05-2015,10.01510
140,DHFL Pramerica Mutual Fund,Open Ended Schemes,Debt Scheme - Banking and PSU Fund,138573,DHFL Pramerica Banking and PSU Debt fund - Bonus,08-03-2016,12.78740
141,PGIM India Mutual Fund,Open Ended Schemes,Debt Scheme - Banking and PSU Fund,138580,PGIM India Banking and PSU Debt Fund - Direct Plan - Regular Dividend,11-02-2021,10.01160
142,PGIM India Mutual Fund,Open Ended Schemes,Debt Scheme - Banking and PSU Fund,138565,PGIM India Banking and PSU Debt fund - Monthly Dividend,08-03-2016,10.24620
143,DHFL Pramerica Mutual Fund,Open Ended Schemes,Debt Scheme - Banking and PSU Fund,138576,DHFL Pramerica Banking and PSU Debt fund - Quarterly Bonus,08-03-2016,11.09250
144,PGIM India Mutual Fund,Open Ended Schemes,Debt Scheme - Banking and PSU Fund,138571,PGIM India Banking and PSU Debt fund - Quarterly Dividend,08-03-2016,10.43200
145,PGIM India Mutual Fund,Open Ended Schemes,Debt Scheme - Banking and PSU Fund,138579,PGIM India Banking and PSU Debt Fund - Regular Dividend,18-02-2021,10.02480
146,DHFL Pramerica Mutual Fund,Open Ended Schemes,Debt Scheme - Banking and PSU Fund,138570,DHFL Pramerica Banking and PSU Debt fund - Weekly Dividend,08-03-2016,10.30070
147,PGIM India Mutual Fund,Open Ended Schemes,Debt Scheme - Banking and PSU Fund,138566,PGIM India Banking and PSU Debt fund -Growth,08-03-2016,12.88780
148,DHFL Pramerica Mutual Fund,Open Ended Schemes,Debt Scheme - Banking and PSU Fund,138575,DHFL Pramerica Banking and PSU Debt fund- Direct Plan-  Quarterly Bonus,08-03-2016,12.97520
