,fund_house,scheme_type,scheme_category,scheme_code,scheme_name,date,nav
10600,Reliance Mutual Fund,135488;INF174K01Y15;-;Kotak FMP Series 180,1099 Days,133531,Reliance Dual Advantage Fixed Tenure Fund VII- Plan C- Growth Option,10-02-2015,10.17500
10601,Reliance Mutual Fund,135488;INF174K01Y15;-;Kotak FMP Series 180,1099 Days,133986,Reliance Dual Advantage Fixed Tenure Fund VII- Plan D- Direct Plan- Growth Option,27-03-2015,10.02650
10602,Reliance Mutual Fund,135488;INF174K01Y15;-;Kotak FMP Series 180,1099 Days,133987,Reliance Dual Advantage Fixed Tenure Fund VII- Plan D- Direct Plan-Dividend Payout Option,27-03-2015,10.02650
10603,Reliance Mutual Fund,135488;INF174K01Y15;-;Kotak FMP Series 180,1099 Days,133985,Reliance Dual Advantage Fixed Tenure Fund VII- Plan D- Dividend Payout Option,27-03-2015,10.02590
10604,Reliance Mutual Fund,135488;INF174K01Y15;-;Kotak FMP Series 180,1099 Days,133984,Reliance Dual Advantage Fixed Tenure Fund VII- Plan D- Growth Option,27-03-2015,10.02590
10605,Reliance Mutual Fund,135488;INF174K01Y15;-;Kotak FMP Series 180,1099 Days,134412,Reliance Dual Advantage Fixed Tenure Fund VII- Plan E- Direct Plan-Dividend Payout Option,13-05-2015,10.06640
10606,Reliance Mutual Fund,135488;INF174K01Y15;-;Kotak FMP Series 180,1099 Days,134410,Reliance Dual Advantage Fixed Tenure Fund VII- Plan E- Direct Plan-Growth Option,13-05-2015,10.06640
10607,Reliance Mutual Fund,135488;INF174K01Y15;-;Kotak FMP Series 180,1099 Days,134411,Reliance Dual Advantage Fixed Tenure Fund VII- Plan E- Dividend Payout Option,13-05-2015,10.06470
10608,Reliance Mutual Fund,135488;INF174K01Y15;-;Kotak FMP Series 180,1099 Days,134409,Reliance Dual Advantage Fixed Tenure Fund VII- Plan E- Growth Option,13-05-2015,10.06470
10609,Reliance Mutual Fund,135488;INF174K01Y15;-;Kotak FMP Series 180,1099 Days,135086,Reliance Dual Advantage Fixed Tenure Fund VIII- Plan A- Direct Plan- Growth Option,17-08-2015,10.02300
10610,Reliance Mutual Fund,135488;INF174K01Y15;-;Kotak FMP Series 180,1099 Days,135084,Reliance Dual Advantage Fixed Tenure Fund VIII- Plan A- Direct Plan-Dividend Payout Option,17-08-2015,10.02300
10611,Reliance Mutual Fund,135488;INF174K01Y15;-;Kotak FMP Series 180,1099 Days,135085,Reliance Dual Advantage Fixed Tenure Fund VIII- Plan A- Dividend Payout Option,17-08-2015,10.02060
10612,Reliance Mutual Fund,135488;INF174K01Y15;-;Kotak FMP Series 180,1099 Days,135087,Reliance Dual Advantage Fixed Tenure Fund VIII- Plan A- Growth Option,17-08-2015,10.02060
10613,Reliance Mutual Fund,135488;INF174K01Y15;-;Kotak FMP Series 180,1099 Days,135231,Reliance Dual Advantage Fixed Tenure Fund VIII- Plan B-Direct Plan-Dividend Payout Option,09-09-2015,10.01780
10614,Reliance Mutual Fund,135488;INF174K01Y15;-;Kotak FMP Series 180,1099 Days,135230,Reliance Dual Advantage Fixed Tenure Fund VIII- Plan B-Direct Plan-Growth Option,09-09-2015,10.01780
10615,Reliance Mutual Fund,135488;INF174K01Y15;-;Kotak FMP Series 180,1099 Days,135229,Reliance Dual Advantage Fixed Tenure Fund VIII- Plan B-Dividend Payout Option,09-09-2015,10.01540
10616,Reliance Mutual Fund,135488;INF174K01Y15;-;Kotak FMP Series 180,1099 Days,135228,Reliance Dual Advantage Fixed Tenure Fund VIII- Plan B-Growth Option,09-09-2015,10.01540
10617,Reliance Mutual Fund,135488;INF174K01Y15;-;Kotak FMP Series 180,1099 Days,135435,Reliance Dual Advantage Fixed Tenure Fund VIII- Plan C- Direct Plan-Dividend Payout Option,21-10-2015,10.00390
10618,Reliance Mutual Fund,135488;INF174K01Y15;-;Kotak FMP Series 180,1099 Days,135434,Reliance Dual Advantage Fixed Tenure Fund VIII- Plan C- Direct Plan-Growth Option,21-10-2015,10.00390
10619,Reliance Mutual Fund,135488;INF174K01Y15;-;Kotak FMP Series 180,1099 Days,135433,Reliance Dual Advantage Fixed Tenure Fund VIII- Plan C- Dividend Payout Option,21-10-2015,10.00240
10620,Reliance Mutual Fund,135488;INF174K01Y15;-;Kotak FMP Series 180,1099 Days,135432,Reliance Dual Advantage Fixed Tenure Fund VIII- Plan C- Growth Option,21-10-2015,10.00240
10621,Reliance Mutual Fund,IL&FS Mutual Fund,IDF,146735,Reliance Fixed Horizon Fund XLI - Series 2 - Direct Plan - Dividend Payout Option,19-03-2019,10.00900
10622,Reliance Mutual Fund,IL&FS Mutual Fund,IDF,146738,Reliance Fixed Horizon Fund XLI - Series 2 - Direct Plan - Growth Option,19-03-2019,10.00900
10623,Reliance Mutual Fund,IL&FS Mutual Fund,IDF,146736,Reliance Fixed Horizon Fund XLI - Series 2 - Dividend Payout Option,19-03-2019,10.00880
10624,Reliance Mutual Fund,IL&FS Mutual Fund,IDF,146737,Reliance Fixed Horizon Fund XLI - Series 2 - Growth Option,19-03-2019,10.00880
10625,Reliance Mutual Fund,135488;INF174K01Y15;-;Kotak FMP Series 180,1099 Days,117779,Reliance Fixed Horizon Fund - XXII - Series 21 - Dividend Payout Option,22-08-2012,10.01110
10626,Reliance Mutual Fund,135488;INF174K01Y15;-;Kotak FMP Series 180,1099 Days,117778,Reliance Fixed Horizon Fund - XXII - Series 21 - Growth Option,22-08-2012,10.01110
10627,Reliance Mutual Fund,135488;INF174K01Y15;-;Kotak FMP Series 180,1099 Days,117795,Reliance Fixed Horizon Fund - XXII - Series 22 - Dividend Payout Option,05-09-2012,10.01170
10628,Reliance Mutual Fund,135488;INF174K01Y15;-;Kotak FMP Series 180,1099 Days,117794,Reliance Fixed Horizon Fund - XXII - Series 22 - Growth Option,05-09-2012,10.01170
10629,Reliance Mutual Fund,135488;INF174K01Y15;-;Kotak FMP Series 180,1099 Days,117797,Reliance Fixed Horizon Fund - XXII - Series 23 - Dividend Payout Option,05-09-2012,10.01270
10630,Reliance Mutual Fund,135488;INF174K01Y15;-;Kotak FMP Series 180,1099 Days,117796,Reliance Fixed Horizon Fund - XXII - Series 23 - Growth Option,05-09-2012,10.01270
10631,Reliance Mutual Fund,135488;INF174K01Y15;-;Kotak FMP Series 180,1099 Days,117813,Reliance Fixed Horizon Fund - XXII - Series 24 - Dividend Payout Option,07-09-2012,10.02330
10632,Reliance Mutual Fund,135488;INF174K01Y15;-;Kotak FMP Series 180,1099 Days,117814,Reliance Fixed Horizon Fund - XXII - Series 24 - Growth Option,07-09-2012,10.02330
10633,Reliance Mutual Fund,135488;INF174K01Y15;-;Kotak FMP Series 180,1099 Days,117849,Reliance Fixed Horizon Fund - XXII - Series 26 - Dividend Payout Option,14-09-2012,10.01220
10634,Reliance Mutual Fund,135488;INF174K01Y15;-;Kotak FMP Series 180,1099 Days,117848,Reliance Fixed Horizon Fund - XXII - Series 26 - Growth Option,14-09-2012,10.01220
10635,Reliance Mutual Fund,135488;INF174K01Y15;-;Kotak FMP Series 180,1099 Days,117967,Reliance Fixed Horizon Fund - XXII - Series 29 - Dividend Option,23-10-2012,10.00700
10636,Reliance Mutual Fund,135488;INF174K01Y15;-;Kotak FMP Series 180,1099 Days,117966,Reliance Fixed Horizon Fund - XXII - Series 29 - Growth Option,23-10-2012,10.00700
10637,Reliance Mutual Fund,135488;INF174K01Y15;-;Kotak FMP Series 180,1099 Days,117976,Reliance Fixed Horizon Fund XXII - Sereis 30 - Dividend Payout Option,06-11-2012,10.01240
10638,Reliance Mutual Fund,135488;INF174K01Y15;-;Kotak FMP Series 180,1099 Days,117975,Reliance Fixed Horizon Fund XXII - Series 30 - Growth Option,06-11-2012,10.01240
10639,Reliance Mutual Fund,135488;INF174K01Y15;-;Kotak FMP Series 180,1099 Days,118223,Reliance Fixed Horizon Fund - XXII - Series 34 - Dividend Payout Option,27-12-2012,10.01360
10640,Reliance Mutual Fund,135488;INF174K01Y15;-;Kotak FMP Series 180,1099 Days,118222,Reliance Fixed Horizon Fund - XXII -Series -34 Growth Option,27-12-2012,10.01360
10641,Reliance Mutual Fund,135488;INF174K01Y15;-;Kotak FMP Series 180,1099 Days,122458,Reliance Fixed Horizon Fund - XXIII - Series 11 - Direct Plan - Growth Option,20-05-2013,10.01230
10642,Reliance Mutual Fund,135488;INF174K01Y15;-;Kotak FMP Series 180,1099 Days,122455,Reliance Fixed Horizon Fund - XXIII - Series 11 - Dividend Payout Option,20-05-2013,10.01200
